producto,categoria,descripcion
iPhone 12,smartphone,Teléfono inteligente de alta gama con pantalla OLED y cámara de 12 MP.
Samsung Galaxy S21,smartphone,Teléfono inteligente de gama alta con pantalla Dynamic AMOLED y cámara de 64 MP.
iPad Pro,tablet,Tablet de alta gama con pantalla Liquid Retina y procesador M1.
MacBook Pro,portatil,Portátil de gama alta con pantalla Retina y procesador M1.
Apple Watch Series 6,smartwatch,Reloj inteligente con pantalla siempre encendida y monitor de oxígeno en sangre.
Microsoft Surface Laptop 4,portatil,Portátil de alta gama con pantalla táctil y procesador Intel Core de 11ª generación.
HP Spectre x360,portatil,Portátil convertible de gama alta con pantalla táctil y procesador Intel Core de 11ª generación.
Dell XPS 13,portatil,Portátil ultradelgado de gama alta con pantalla InfinityEdge y procesador Intel Core de 11ª generación.
Lenovo Yoga C940,portatil,Portátil 2 en 1 de gama alta con pantalla táctil y procesador Intel Core de 10ª generación.
Google Pixel 5,smartphone,Teléfono inteligente de gama media con pantalla OLED y cámara de 12.2 MP.
Sony PlayStation 5,consola de videojuegos,Consola de última generación con soporte para juegos en 4K y VR.
Xbox Series X,consola de videojuegos,Consola de última generación con soporte para juegos en 4K y Ray Tracing.
Nintendo Switch,consola de videojuegos,Consola portátil híbrida con pantalla HD y Joy-Con desmontables.
Amazon Echo Dot,altavoz inteligente,Altavoz inteligente con Alexa integrado y control de voz.
Google Nest Hub,dispositivo inteligente,Dispositivo inteligente con pantalla táctil de 7 pulgadas y Google Assistant integrado.
Samsung Galaxy Watch 4,smartwatch,Reloj inteligente con pantalla AMOLED y sensor de frecuencia cardíaca.
Bose QuietComfort Earbuds,auriculares inalámbricos,Auriculares inalámbricos con cancelación de ruido activa y hasta 6 horas de batería.
JBL Flip 5,altavoz portátil,Altavoz portátil resistente al agua con hasta 12 horas de autonomía.
Apple AirPods Pro,auriculares inalámbricos,Auriculares inalámbricos con cancelación de ruido activa y resistencia al agua.
Samsung Galaxy Buds Pro,auriculares inalámbricos,Auriculares inalámbricos con cancelación de ruido activa y hasta 5 horas de batería.
Philips Hue Starter Kit,iluminación inteligente,Kit de inicio de iluminación inteligente con 3 bombillas LED y puente Hue.
Sony WF-1000XM4,auriculares inalámbricos,Auriculares inalámbricos con cancelación de ruido activa y hasta 8 horas de batería.
Dell Inspiron 14,portatil,Portátil de gama media con pantalla Full HD yc
