categoria,producto,total_ventas
portatil,Dell Inspiron 14,1.0
portatil,MacBook Pro,2.0
consola de videojuegos,Xbox Series X,2.0
auriculares inalámbricos,Bose QuietComfort Earbuds,1.0
portatil,Lenovo Yoga C940,2.0
consola de videojuegos,Nintendo Switch,4.0
smartphone,Google Pixel 5,2.0
iluminación inteligente,Philips Hue Starter Kit,1.0
altavoz inteligente,Amazon Echo Dot,6.0
smartphone,iPhone 12,1.0
portatil,Dell XPS 13,4.0
smartphone,Samsung Galaxy S21,2.0
smartwatch,Samsung Galaxy Watch 4,1.0
auriculares inalámbricos,Samsung Galaxy Buds Pro,1.0
portatil,HP Spectre x360,2.0
tablet,iPad Pro,2.0
smartwatch,Apple Watch Series 6,4.0
auriculares inalámbricos,Sony WF-1000XM4,2.0
altavoz portátil,JBL Flip 5,2.0
consola de videojuegos,Sony PlayStation 5,2.0
auriculares inalámbricos,Apple AirPods Pro,3.0
portatil,Microsoft Surface Laptop 4,2.0
dispositivo inteligente,Google Nest Hub,1.0
